mention_id,sentence_id,doc_id,doc_name,sentence_number,entity,entity type,type,actor_id_type,actor_name,new_actor_type,abbreviation,country_based,iso3c
296,1/138,1,848,138,United Kingdom Great Britain,GPE,mentioned in agt text,CON_19,United Kingdom,Country/State,UKG,United Kingdom of Great Britain and Northern Ireland,GBR
297,1/138,1,848,138,Northern Ireland,GPE,mentioned in agt text,ENT_170,Northern Ireland,Entity,,United Kingdom of Great Britain and Northern Ireland,GBR
298,1/138,1,848,138,United Arab Emirates,GPE,mentioned in agt text,CON_591,United Arab Emirates,Country/State,UAE,United Arab Emirates,ARE
299,1/138,1,848,138,United States America,GPE,mentioned in agt text,CON_3,United States,Country/State,USA,United States of America,USA
300,1/138,1,848,138,Republic Uzbekistan,GPE,mentioned in agt text,CON_54,Uzbekistan,Country/State,UZB,Uzbekistan,UZB
301,1/138,1,848,138,Socialist Republic Viet Nam,GPE,mentioned in agt text,CON_297,Vietnam,Country/State,RVN,Viet Nam,VNM
302,1/138,1,848,138,Asian Development Bank,ORG,mentioned in agt text,IGO_600,Asian Development Bank,Intergovernmental Organization,ADB,,
303,1/138,1,848,138,Conference Interaction Confidence‐Building Measures,ORG,mentioned in agt text,0,,,,,
304,1/138,1,848,138,Asia,LOC,mentioned in agt text,0,,,,,
305,1/138,1,848,138,Collective Security Treaty Organisation,ORG,mentioned in agt text,IGO_598,Collective Security Treaty Organization,Intergovernmental Organization,CSTO,,
306,1/138,1,848,138,Economic Cooperation Organization,ORG,mentioned in agt text,IGO_597,Economic Cooperation Organization,Intergovernmental Organization,ECO,,
