mention_id,sentence_id,doc_id,doc_name,sentence_number,entity,entity type,type,actor_id_type,actor_name,new_actor_type,abbreviation,country_based,iso3c
146,Jan-90,1,848,90,International Monetary Fund,ORG,mentioned in agt text,IGO_438,International Monetary Fund,Intergovernmental Organization,IMF,,
147,Jan-91,1,848,91,Kabul Process,ORG,mentioned in agt text,0,,,,,
148,Jan-92,1,848,92,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
149,Jan-92,1,848,92,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
150,Jan-94,1,848,94,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
151,Jan-95,1,848,95,International Community ’s,ORG,mentioned in agt text,0,,,,,
152,Jan-95,1,848,95,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
153,Jan-97,1,848,97,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
154,Jan-97,1,848,97,Transition,ORG,mentioned in agt text,0,,,,,
155,Jan-98,1,848,98,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
156,Jan-98,1,848,98,Kabul Process,ORG,mentioned in agt text,0,,,,,
157,Jan-98,1,848,98,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
158,1/100,1,848,100,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
159,1/101,1,848,101,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
160,1/101,1,848,101,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
161,1/102,1,848,102,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
162,1/102,1,848,102,Afghan,NORP,mentioned in agt text,0,,,,,
163,1/103,1,848,103,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
164,1/103,1,848,103,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
165,1/105,1,848,105,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
166,1/106,1,848,106,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
167,1/106,1,848,106,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
168,1/108,1,848,108,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
169,1/109,1,848,109,Afghan Government,ORG,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
