mention_id,sentence_id,entity type,entity,doc_id_x,sentence_number,doc_name,doc_id_y,type,actor_id_type,actor_type,actor_name,actor,abbreviation,country_based,iso3c,correct?,notes
130,1/84,ORG,International Community,1,84,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
131,1/84,GPE,Afghanistan,1,84,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
132,1/84,ORG,Afghan Government ’s,1,84,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
133,1/85,ORG,International Community,1,85,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
134,1/85,GPE,Afghanistan,1,85,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
135,1/85,ORG,Afghan Government ’s,1,85,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
136,1/85,ORG,National Priority Programmes,1,85,848,1,mentioned in agt text,0,,,,,,,,
137,1/85,ORG,Kabul Process,1,85,848,1,mentioned in agt text,0,,,,,,,,
138,1/87,NORP,Afghan,1,87,848,1,mentioned in agt text,0,,,,,,,,
139,1/87,GPE,Kabul,1,87,848,1,mentioned in agt text,0,,,,,,,,
140,1/87,GPE,London,1,87,848,1,mentioned in agt text,0,,,,,,,,
141,1/87,GPE,Afghanistan,1,87,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
142,1/88,GPE,Japan,1,88,848,1,mentioned in agt text,CON_294,Country/State,Japan,Japan,JPN,Japan,JPN,,
143,1/88,GPE,Tokyo,1,88,848,1,mentioned in agt text,0,,,,,,,,
144,1/88,GPE,Afghanistan,1,88,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
145,1/90,ORG,World Bank,1,90,848,1,mentioned in agt text,IGO_437,Intergovernmental Organization,World Bank,World Bank,WB,,,,
146,1/90,ORG,International Monetary Fund,1,90,848,1,mentioned in agt text,IGO_438,Intergovernmental Organization,International Monetary Fund,International Monetary Fund,IMF,,,,
147,1/91,ORG,Kabul Process,1,91,848,1,mentioned in agt text,0,,,,,,,,
148,1/92,ORG,International Community,1,92,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
149,1/92,GPE,Afghanistan,1,92,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
150,1/94,GPE,Afghanistan,1,94,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
151,1/95,ORG,International Community ’s,1,95,848,1,mentioned in agt text,0,,,,,,,,
152,1/95,GPE,Afghanistan,1,95,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
153,1/97,GPE,Afghanistan,1,97,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
154,1/97,ORG,Transition,1,97,848,1,mentioned in agt text,0,,,,,,,,
155,1/98,ORG,International Community,1,98,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
156,1/98,ORG,Kabul Process,1,98,848,1,mentioned in agt text,0,,,,,,,,
157,1/98,GPE,Afghanistan,1,98,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
158,1/100,GPE,Afghanistan,1,100,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
159,1/101,ORG,International Community,1,101,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
160,1/101,GPE,Afghanistan,1,101,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
161,1/102,GPE,Afghanistan,1,102,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
162,1/102,NORP,Afghan,1,102,848,1,mentioned in agt text,0,,,,,,,,
163,1/103,ORG,International Community,1,103,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
164,1/103,GPE,Afghanistan,1,103,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
165,1/105,GPE,Afghanistan,1,105,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
166,1/106,ORG,International Community,1,106,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
167,1/106,GPE,Afghanistan,1,106,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
168,1/108,GPE,Afghanistan,1,108,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
169,1/109,ORG,Afghan Government,1,109,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
170,1/109,ORG,EUROMINES International Investors Forum,1,109,848,1,mentioned in agt text,0,,,,,,,,
171,1/109,GPE,Brussels,1,109,848,1,mentioned in agt text,0,,,,,,,,
172,1/111,GPE,Afghanistan,1,111,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
173,1/113,GPE,Afghanistan,1,113,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
174,1/114,GPE,Afghanistan,1,114,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
175,1/116,ORG,“ Istanbul Conference,1,116,848,1,mentioned in agt text,0,,,,,,,,
176,1/116,GPE,Afghanistan,1,116,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
177,1/116,LOC,Asia,1,116,848,1,mentioned in agt text,0,,,,,,,,
178,1/117,LOC,Asia,1,117,848,1,mentioned in agt text,0,,,,,,,,
179,1/118,GPE,Afghanistan,1,118,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
180,1/118,ORG,follow‐up Ministerial Conference,1,118,848,1,mentioned in agt text,0,,,,,,,,
181,1/118,GPE,Kabul,1,118,848,1,mentioned in agt text,0,,,,,,,,
182,1/120,GPE,Afghanistan,1,120,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
183,1/120,LOC,South Asia,1,120,848,1,mentioned in agt text,0,,,,,,,,
184,1/120,LOC,Central Asia,1,120,848,1,mentioned in agt text,0,,,,,,,,
185,1/120,GPE,Eurasia,1,120,848,1,mentioned in agt text,0,,,,,,,,
186,1/120,LOC,Middle East,1,120,848,1,mentioned in agt text,0,,,,,,,,
187,1/121,GPE,Afghanistan,1,121,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
188,1/122,ORG,CASA‐1000,1,122,848,1,mentioned in agt text,0,,,,,,,,
189,1/123,GPE,Republic Tajikistan,1,123,848,1,mentioned in agt text,CON_62,Country/State,Tajikistan,Tajikistan,TAJ,Tajikistan,TJK,,
190,1/123,GPE,Dushanbe,1,123,848,1,mentioned in agt text,0,,,,,,,,
191,1/125,GPE,Afghanistan,1,125,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
192,1/125,GPE,Pakistan,1,125,848,1,mentioned in agt text,CON_395,Country/State,Pakistan,Pakistan,PAK,Pakistan,PAK,,
193,1/125,GPE,Iran,1,125,848,1,mentioned in agt text,CON_289,Country/State,Iran (Islamic Republic of),Iran (Islamic Republic of),IRN,Iran (Islamic Republic of),IRN,,
194,1/125,NORP,Afghans,1,125,848,1,mentioned in agt text,0,,,,,,,,
195,1/126,ORG,WAY,1,126,848,1,mentioned in agt text,0,,,,,,,,
196,1/127,ORG,Transition,1,127,848,1,mentioned in agt text,0,,,,,,,,
